Suburb,Council,Post Code,District,Latitude,Longitude,State
Castle Creek,Wodonga City,3691,North East District,-36.1167,146.8833,Victoria
Castle Donnington,Swan Hill Rural City,3585,Mallee District,-35.3378,143.5544,Victoria
Castlemaine,Mount Alexander Shire,3450,North Central District,-37.0761,144.1882,Victoria
Catani,Cardinia Shire,3981,Central District,-38.15,145.4167,Victoria
Cathcart,Ararat Rural City,3377,South West District,-37.2833,142.9333,Victoria
Cathkin,Murrindindi Shire,3714,North Central District,-37.3667,145.5333,Victoria
Catumnal,Loddon Shire,3537,Northern Country District,-36.4041,143.8296,Victoria
Caulfield,Glen Eira City,3162,Central District,-37.8995,145.041,Victoria
Caulfield East,Glen Eira City,3145,Central District,-37.8995,145.041,Victoria
Caulfield North,Glen Eira City,3161,Central District,-37.8995,145.041,Victoria
Caulfield South,Glen Eira City,3162,Central District,-37.8995,145.041,Victoria
Caveat,Murrindindi Shire,3660,North Central District,-37.3667,145.5333,Victoria
Cavendish,Southern Grampians Shire,3314,South West District,-37.5299,142.0253,Victoria
Ceres,Greater Geelong City,3221,Central District,-38.0518,144.4614,Victoria
Chadstone,Monash City,3148,Central District,-37.8968,145.1471,Victoria
Chandlers Creek,East Gippsland Shire,3890,East Gippsland District,-37.3456,148.5829,Victoria
Chapple Vale,Corangamite Shire,3239,South West District,-38.216,143.2354,Victoria
Chapple Vale,Colac Otway Shire,3239,South West District,-38.4387,143.5967,Victoria
Charam,West Wimmera Shire,3318,Wimmera District,-36.5992,141.4004,Victoria
Charlemont,Greater Geelong City,3217,Central District,-38.0518,144.4614,Victoria
Charleroi,Indigo Shire,3695,North East District,-36.2085,146.6863,Victoria
Charlton,Buloke Shire,3525,Mallee District,-35.8464,143.05200000000002,Victoria
Chatsworth,Ararat Rural City,3379,South West District,-37.2833,142.9333,Victoria
Chatsworth,Moyne Shire,3379,South West District,-38.1879,142.4622,Victoria
Chelsea,Kingston City,3196,Central District,-38.0045,145.0953,Victoria
Chelsea Heights,Kingston City,3196,Central District,-38.0045,145.0953,Victoria
Cheltenham,Kingston City,3192,Central District,-38.0045,145.0953,Victoria
Cheltenham,Bayside City,3192,Central District,-37.9399,145.0193,Victoria
Cheltenham,Kingston City,3192,Central District,-38.0045,145.0953,Victoria
Chepstowe,Pyrenees Shire,3351,South West District,-37.3276,143.3647,Victoria
Cherokee,Macedon Ranges Shire,3434,Central District,-37.3334,144.6158,Victoria
Cherrypool,Southern Grampians Shire,3401,South West District,-37.5299,142.0253,Victoria
Cheshunt,Wangaratta Rural City,3678,North East District,-36.3667,146.3333,Victoria
Chesney Vale,Benalla Rural City,3725,North East District,-36.5904,146.0281,Victoria
Chetwynd,West Wimmera Shire,3312,Wimmera District,-36.5992,141.4004,Victoria
Chewton,Mount Alexander Shire,3451,North Central District,-37.0761,144.1882,Victoria
Chewton Bushlands,Mount Alexander Shire,3451,North Central District,-37.0761,144.1882,Victoria
Childers,Baw Baw Shire,3824,West & South Gippsland District,-37.97,146.144,Victoria
Chillingollah,Swan Hill Rural City,3585,Mallee District,-35.3378,143.5544,Victoria
Chiltern,Indigo Shire,3683,North East District,-36.2085,146.6863,Victoria
Chiltern Valley,Indigo Shire,3683,North East District,-36.2085,146.6863,Victoria
Chinangin,Swan Hill Rural City,3544,Mallee District,-35.3378,143.5544,Victoria
Chinkapook,Swan Hill Rural City,3546,Mallee District,-35.3378,143.5544,Victoria
Chintin,Macedon Ranges Shire,3756,Central District,-37.3334,144.6158,Victoria
Chirnside Park,Yarra Ranges Shire,3116,Central District,-37.7501,145.7371,Victoria
Chirrip,Buloke Shire,3525,Mallee District,-35.8464,143.05200000000002,Victoria
Chocolyn,Corangamite Shire,3260,South West District,-38.216,143.2354,Victoria
Christmas Hills,Nillumbik Shire,3775,Central District,-37.6147,145.2171,Victoria
Chum Creek,Yarra Ranges Shire,3777,Central District,-37.7501,145.7371,Victoria
Churchill,Latrobe City,3842,West & South Gippsland District,-38.2538,146.4612,Victoria
Churchill Island,Bass Coast Shire,3925,Central District,-38.4851,145.5639,Victoria
Chute,Pyrenees Shire,3373,South West District,-37.3276,143.3647,Victoria
Clarendon,Moorabool Shire,3352,Central District,-38.0833,144.3,Victoria
Claretown,Moorabool Shire,3352,Central District,-38.0833,144.3,Victoria
Clarinda,Kingston City,3169,Central District,-38.0045,145.0953,Victoria
Clarkefield,Hume City,3430,Central District,-37.5972,144.8051,Victoria
Clarkefield,Macedon Ranges Shire,3430,Central District,-37.3334,144.6158,Victoria
Clarkes Hill,Moorabool Shire,3352,Central District,-38.0833,144.3,Victoria
Clayton,Monash City,3168,Central District,-37.8968,145.1471,Victoria
Clayton,Monash City,3168,Central District,-37.8968,145.1471,Victoria
Clayton South,Kingston City,3169,Central District,-38.0045,145.0953,Victoria
Clear Lake,Horsham Rural City,3409,Wimmera District,-36.7167,142.2,Victoria
Clematis,Yarra Ranges Shire,3782,Central District,-37.7501,145.7371,Victoria
Clematis,Cardinia Shire,3782,Central District,-38.15,145.4167,Victoria
Clifton Creek,East Gippsland Shire,3875,East Gippsland District,-37.3456,148.5829,Victoria
Clifton Hill,Yarra City,3068,Central District,-37.8049,145.0034,Victoria
Clifton Springs,Greater Geelong City,3222,Central District,-38.0518,144.4614,Victoria
Clonbinane,Mitchell Shire,3658,North Central District,-37.1754,144.98,Victoria
Clover Flat,Southern Grampians Shire,3315,South West District,-37.5299,142.0253,Victoria
Cloverlea,Baw Baw Shire,3822,West & South Gippsland District,-37.97,146.144,Victoria
Club Terrace,East Gippsland Shire,3889,East Gippsland District,-37.3456,148.5829,Victoria
Clunes,Hepburn Shire,3370,Central District,-37.3167,144.1333,Victoria
Clyde,Casey City,3978,Central District,-38.0952,145.3228,Victoria
Clyde,Casey City,3978,Central District,-38.0952,145.3228,Victoria
Clyde North,Casey City,3978,Central District,-38.0952,145.3228,Victoria
Clyde North,Casey City,3978,Central District,-38.0952,145.3228,Victoria
Clydebank,Wellington Shire,3851,West & South Gippsland District,-35.35,139.3833,Victoria
Clydesdale,Hepburn Shire,3461,Central District,-37.3167,144.1333,Victoria
Coalville,Baw Baw Shire,3825,West & South Gippsland District,-37.97,146.144,Victoria
Cobains,Wellington Shire,3851,West & South Gippsland District,-35.35,139.3833,Victoria
Cobaw,Macedon Ranges Shire,3442,Central District,-37.3334,144.6158,Victoria
Cobbannah,East Gippsland Shire,3862,East Gippsland District,-37.3456,148.5829,Victoria
Cobblebank,Melton City,3338,Central District,-37.6833,144.5833,Victoria
Cobden,Corangamite Shire,3266,South West District,-38.216,143.2354,Victoria
Cobram,Moira Shire,3644,Northern Country District,-36.0506,145.5381,Victoria
Cobram East,Moira Shire,3644,Northern Country District,-36.0506,145.5381,Victoria
Cobrico,Corangamite Shire,3266,South West District,-38.216,143.2354,Victoria
Cobungra,East Gippsland Shire,3898,East Gippsland District,-37.3456,148.5829,Victoria
Coburg,Moreland City,3058,Central District,-37.7356,144.9375,Victoria
Coburg,Darebin City,3058,Central District,-37.7667,145.05,Victoria
Coburg North,Moreland City,3058,Central District,-37.7356,144.9375,Victoria
Coburg North,Darebin City,3058,Central District,-37.7667,145.05,Victoria
Cocamba,Swan Hill Rural City,3546,Mallee District,-35.3378,143.5544,Victoria
Cochranes Creek,Loddon Shire,3475,Northern Country District,-36.4041,143.8296,Victoria
Cockatoo,Cardinia Shire,3781,Central District,-38.15,145.4167,Victoria
Codrington,Moyne Shire,3285,South West District,-38.1879,142.4622,Victoria
Coghills Creek,Ballarat City,3364,Central District,-37.5662,143.8496,Victoria
Cohuna,Gannawarra Shire,3568,Mallee District,-35.7321,143.8532,Victoria
Coimadai,Moorabool Shire,3340,Central District,-38.0833,144.3,Victoria
Cokum,Buloke Shire,3542,Mallee District,-35.8464,143.05200000000002,Victoria
Colac,Colac Otway Shire,3250,South West District,-38.4387,143.5967,Victoria
Colac Colac,Towong Shire,3707,North East District,-36.3659,147.6272,Victoria
Colac East,Colac Otway Shire,3250,South West District,-38.4387,143.5967,Victoria
Colac West,Colac Otway Shire,3250,South West District,-38.4387,143.5967,Victoria
Colbinabbin,Campaspe Shire,3559,Northern Country District,-36.3234,144.7084,Victoria
Colbrook,Moorabool Shire,3342,Central District,-38.0833,144.3,Victoria
Coldstream,Yarra Ranges Shire,3770,Central District,-37.7501,145.7371,Victoria
Coleraine,Southern Grampians Shire,3315,South West District,-37.5299,142.0253,Victoria
Colignan,Mildura Rural City,3494,Mallee District,-34.2,142.15,Victoria
Collingwood,Yarra City,3066,Central District,-37.8049,145.0034,Victoria
Combienbar,East Gippsland Shire,3889,East Gippsland District,-37.3456,148.5829,Victoria
Concongella,Northern Grampians Shire,3384,Wimmera District,-36.8496,142.873,Victoria
Condah,Glenelg Shire,3303,South West District,-37.8908,141.4424,Victoria
Condah Swamp,Moyne Shire,3286,South West District,-38.1879,142.4622,Victoria
Congupna,Greater Shepparton City,3633,Northern Country District,-36.4274,145.4152,Victoria
Connewarre,Surf Coast Shire,3227,Central District,-38.34,144.1153,Victoria
Connewarre,Greater Geelong City,3227,Central District,-38.0518,144.4614,Victoria
Connewirricoo,West Wimmera Shire,3318,Wimmera District,-36.5992,141.4004,Victoria
Coojar,Southern Grampians Shire,3315,South West District,-37.5299,142.0253,Victoria
Coolaroo,Hume City,3048,Central District,-37.5972,144.8051,Victoria
Cooma,Greater Shepparton City,3616,Northern Country District,-36.4274,145.4152,Victoria
Coomboona,Greater Shepparton City,3629,Northern Country District,-36.4274,145.4152,Victoria
Coomoora,Hepburn Shire,3461,Central District,-37.3167,144.1333,Victoria
Coongulla,Wellington Shire,3860,West & South Gippsland District,-35.35,139.3833,Victoria
Coonooer Bridge,Buloke Shire,3477,Mallee District,-35.8464,143.05200000000002,Victoria
Coonooer Bridge,Northern Grampians Shire,3477,Wimmera District,-36.8496,142.873,Victoria
Coonooer West,Northern Grampians Shire,3477,Wimmera District,-36.8496,142.873,Victoria
Cooriemungle,Corangamite Shire,3268,South West District,-38.216,143.2354,Victoria
Cope Cope,Northern Grampians Shire,3480,Wimmera District,-36.8496,142.873,Victoria
Cope Cope,Buloke Shire,3480,Mallee District,-35.8464,143.05200000000002,Victoria
Cora Lynn,Cardinia Shire,3814,Central District,-38.15,145.4167,Victoria
Corack,Buloke Shire,3480,Mallee District,-35.8464,143.05200000000002,Victoria
Corack East,Buloke Shire,3480,Mallee District,-35.8464,143.05200000000002,Victoria
Coragulac,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Coral Bank,Alpine Shire,3691,North East District,-36.8341,146.9794,Victoria
Corindhap,Golden Plains Shire,3352,Central District,-37.8523,143.8635,Victoria
Corinella,Bass Coast Shire,3984,Central District,-38.4851,145.5639,Victoria
Corio,Greater Geelong City,3214,Central District,-38.0518,144.4614,Victoria
Corndale,Glenelg Shire,3311,South West District,-37.8908,141.4424,Victoria
Cornella,Campaspe Shire,3551,Northern Country District,-36.3234,144.7084,Victoria
Cornishtown,Indigo Shire,3683,North East District,-36.2085,146.6863,Victoria
Coronet Bay,Bass Coast Shire,3984,Central District,-38.4851,145.5639,Victoria
Corop,Campaspe Shire,3559,Northern Country District,-36.3234,144.7084,Victoria
Cororooke,Colac Otway Shire,3254,South West District,-38.4387,143.5967,Victoria
Corringle,East Gippsland Shire,3888,East Gippsland District,-37.3456,148.5829,Victoria
Corryong,Towong Shire,3707,North East District,-36.3659,147.6272,Victoria
Corunnun,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Cosgrove,Greater Shepparton City,3631,Northern Country District,-36.4274,145.4152,Victoria
Cosgrove South,Greater Shepparton City,3631,Northern Country District,-36.4274,145.4152,Victoria
Costerfield,Greater Bendigo City,3523,Northern Country District,-36.7228,144.4397,Victoria
Cotswold,Central Goldfields Shire,3465,North Central District,-36.9789,143.7386,Victoria
Cottles Bridge,Nillumbik Shire,3099,Central District,-37.6147,145.2171,Victoria
Cowangie,Mildura Rural City,3506,Mallee District,-34.2,142.15,Victoria
Cowes,Bass Coast Shire,3922,Central District,-38.4851,145.5639,Victoria
Cowleys Creek,Corangamite Shire,3268,South West District,-38.216,143.2354,Victoria
Cowwarr,Wellington Shire,3857,West & South Gippsland District,-35.35,139.3833,Victoria
Cowwarr,Latrobe City,3857,West & South Gippsland District,-38.2538,146.4612,Victoria
Craigie,Central Goldfields Shire,3465,North Central District,-36.9789,143.7386,Victoria
Craigieburn,Hume City,3064,Central District,-37.5972,144.8051,Victoria
Cranbourne,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Cranbourne East,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Cranbourne North,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Cranbourne South,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Cranbourne South,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Cranbourne West,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Creek Junction,Strathbogie Shire,3669,Northern Country District,-36.85,145.75,Victoria
Creek View,Campaspe Shire,3558,Northern Country District,-36.3234,144.7084,Victoria
Creightons Creek,Strathbogie Shire,3666,Northern Country District,-36.85,145.75,Victoria
Cremorne,Yarra City,3121,Central District,-37.8049,145.0034,Victoria
Cressy,Golden Plains Shire,3322,Central District,-37.8523,143.8635,Victoria
Cressy,Corangamite Shire,3322,South West District,-38.216,143.2354,Victoria
Cressy,Colac Otway Shire,3322,South West District,-38.4387,143.5967,Victoria
Creswick,Ballarat City,3363,Central District,-37.5662,143.8496,Victoria
Creswick,Hepburn Shire,3363,Central District,-37.3167,144.1333,Victoria
Creswick North,Hepburn Shire,3363,Central District,-37.3167,144.1333,Victoria
Crib Point,Mornington Peninsula Shire,3919,Central District,-38.3327,144.9566,Victoria
Crooked River,Wellington Shire,3862,West & South Gippsland District,-35.35,139.3833,Victoria
Cross Roads,Pyrenees Shire,3373,South West District,-37.3276,143.3647,Victoria
Crossley,Moyne Shire,3283,South West District,-38.1879,142.4622,Victoria
Crossover,Baw Baw Shire,3821,West & South Gippsland District,-37.97,146.144,Victoria
Crowlands,Ararat Rural City,3377,South West District,-37.2833,142.9333,Victoria
Crowlands,Northern Grampians Shire,3377,Wimmera District,-36.8496,142.873,Victoria
Crowlands,Pyrenees Shire,3377,South West District,-37.3276,143.3647,Victoria
Croxton East,Southern Grampians Shire,3301,South West District,-37.5299,142.0253,Victoria
Croydon,Maroondah City,3136,Central District,-37.8029,145.266,Victoria
Croydon Hills,Maroondah City,3136,Central District,-37.8029,145.266,Victoria
Croydon North,Maroondah City,3136,Central District,-37.8029,145.266,Victoria
Croydon South,Maroondah City,3136,Central District,-37.8029,145.266,Victoria
Crymelon,Hindmarsh Shire,3393,Wimmera District,-36.0329,141.7328,Victoria
Crymelon,Yarriambiack Shire (South Of Netting Fence),3393,Wimmera District,-36.0262,142.4045,Victoria
Cudgee,Moyne Shire,3265,South West District,-38.1879,142.4622,Victoria
Cudgewa,Towong Shire,3705,North East District,-36.3659,147.6272,Victoria
Culgoa,Buloke Shire,3530,Mallee District,-35.8464,143.05200000000002,Victoria
Culla,Southern Grampians Shire,3315,South West District,-37.5299,142.0253,Victoria
Cullen,Gannawarra Shire,3568,Mallee District,-35.7321,143.8532,Victoria
Cullulleraine,Mildura Rural City,3496,Mallee District,-34.2,142.15,Victoria
Cundare,Colac Otway Shire,3251,South West District,-38.4387,143.5967,Victoria
Cundare North,Corangamite Shire,3251,South West District,-38.216,143.2354,Victoria
Cundare North,Colac Otway Shire,3251,South West District,-38.4387,143.5967,Victoria
Curdies River,Corangamite Shire,3268,South West District,-38.216,143.2354,Victoria
Curdievale,Moyne Shire,3268,South West District,-38.1879,142.4622,Victoria
Curdievale,Corangamite Shire,3268,South West District,-38.216,143.2354,Victoria
Curlewis,Greater Geelong City,3222,Central District,-38.0518,144.4614,Victoria
Curyo,Buloke Shire,3483,Mallee District,-35.8464,143.05200000000002,Victoria
Dadswells Bridge,Horsham Rural City,3385,Wimmera District,-36.7167,142.2,Victoria
Dadswells Bridge,Northern Grampians Shire,3385,Wimmera District,-36.8496,142.873,Victoria
Daisy Hill,Central Goldfields Shire,3465,North Central District,-36.9789,143.7386,Victoria
Dales Creek,Moorabool Shire,3341,Central District,-38.0833,144.3,Victoria
Dallas,Hume City,3047,Central District,-37.5972,144.8051,Victoria
Dalmore,Cardinia Shire,3981,Central District,-38.15,145.4167,Victoria
Daltons Bridge,Gannawarra Shire,3568,Mallee District,-35.7321,143.8532,Victoria
Dalyenong,Northern Grampians Shire,3477,Wimmera District,-36.8496,142.873,Victoria
Dalyston,Bass Coast Shire,3992,Central District,-38.4851,145.5639,Victoria
Dandenong,Greater Dandenong City,3175,Central District,-38.0011,145.1907,Victoria
Dandenong North,Greater Dandenong City,3175,Central District,-38.0011,145.1907,Victoria
Dandenong South,Greater Dandenong City,3175,Central District,-38.0011,145.1907,Victoria
Dandongadale,Alpine Shire,3737,North East District,-36.8341,146.9794,Victoria
Dargo,Wellington Shire,3862,West & South Gippsland District,-35.35,139.3833,Victoria
Darley,Moorabool Shire,3340,Central District,-38.0833,144.3,Victoria
Darlimurla,South Gippsland Shire,3871,West & South Gippsland District,-38.699,146.067,Victoria
Darlimurla,Latrobe City,3871,West & South Gippsland District,-38.2538,146.4612,Victoria
Darlington,Corangamite Shire,3271,South West District,-38.216,143.2354,Victoria
Darlington,Moyne Shire,3271,South West District,-38.1879,142.4622,Victoria
Darnum,Baw Baw Shire,3822,West & South Gippsland District,-37.97,146.144,Victoria
Darraweit Guim,Macedon Ranges Shire,3756,Central District,-37.3334,144.6158,Victoria
Darriman,Wellington Shire,3851,West & South Gippsland District,-35.35,139.3833,Victoria
Dartmoor,Glenelg Shire,3304,South West District,-37.8908,141.4424,Victoria
Dartmouth,Towong Shire,3701,North East District,-36.3659,147.6272,Victoria
Dartmouth,East Gippsland Shire,3701,East Gippsland District,-37.3456,148.5829,Victoria
Dawson,Wellington Shire,3858,West & South Gippsland District,-35.35,139.3833,Victoria
Daylesford,Hepburn Shire,3460,Central District,-37.3167,144.1333,Victoria
Dean,Hepburn Shire,3363,Central District,-37.3167,144.1333,Victoria
Deans Marsh,Surf Coast Shire,3235,Central District,-38.34,144.1153,Victoria
Deanside,Melton City,3336,Central District,-37.6833,144.5833,Victoria
Deddick Valley,East Gippsland Shire,3888,East Gippsland District,-37.3456,148.5829,Victoria
Dederang,Alpine Shire,3691,North East District,-36.8341,146.9794,Victoria
Deep Lead,Northern Grampians Shire,3385,Wimmera District,-36.8496,142.873,Victoria
Deepdene,Boroondara City,3103,Central District,-37.8264,145.053,Victoria
Deer Park,Brimbank City,3023,Central District,-37.7429,144.8164,Victoria
Delacombe,Ballarat City,3356,Central District,-37.5662,143.8496,Victoria
Delahey,Brimbank City,3037,Central District,-37.7429,144.8164,Victoria
Delatite,Mansfield Shire,3723,North East District,-37.05,146.0833,Victoria
Delburn,Baw Baw Shire,3871,West & South Gippsland District,-37.97,146.144,Victoria
Delburn,Latrobe City,3871,West & South Gippsland District,-38.2538,146.4612,Victoria
Delburn,South Gippsland Shire,3871,West & South Gippsland District,-38.699,146.067,Victoria
Delegate River,East Gippsland Shire,3888,East Gippsland District,-37.3456,148.5829,Victoria
Denicull Creek,Ararat Rural City,3377,South West District,-37.2833,142.9333,Victoria
Denison,Wellington Shire,3858,West & South Gippsland District,-35.35,139.3833,Victoria
Dennington,Moyne Shire,3280,South West District,-38.1879,142.4622,Victoria
Dennington,Warrnambool City,3280,South West District,-38.3833,142.4833,Victoria
Denver,Hepburn Shire,3461,Central District,-37.3167,144.1333,Victoria
Derby,Loddon Shire,3516,Northern Country District,-36.4041,143.8296,Victoria
Dereel,Golden Plains Shire,3352,Central District,-37.8523,143.8635,Victoria
Dergholm,West Wimmera Shire,3312,Wimmera District,-36.5992,141.4004,Victoria
Dergholm,Glenelg Shire,3312,South West District,-37.8908,141.4424,Victoria
Derrimut,Brimbank City,3026,Central District,-37.7429,144.8164,Victoria
Derrinal,Greater Bendigo City,3523,Northern Country District,-36.7228,144.4397,Victoria
Derrinallum,Corangamite Shire,3325,South West District,-38.216,143.2354,Victoria
Devenish,Benalla Rural City,3726,North East District,-36.5904,146.0281,Victoria
Devils River,Murrindindi Shire,3714,North Central District,-37.3667,145.5333,Victoria
Devon Meadows,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Devon Meadows,Casey City,3977,Central District,-38.0952,145.3228,Victoria
Devon North,Wellington Shire,3971,West & South Gippsland District,-35.35,139.3833,Victoria
Dewhurst,Cardinia Shire,3808,Central District,-38.15,145.4167,Victoria
Dhurringile,Greater Shepparton City,3610,Northern Country District,-36.4274,145.4152,Victoria
Diamond Creek,Nillumbik Shire,3089,Central District,-37.6147,145.2171,Victoria
Diamond Creek,Nillumbik Shire,3089,Central District,-37.6147,145.2171,Victoria
Digby,Glenelg Shire,3309,South West District,-37.8908,141.4424,Victoria
Diggers Rest,Melton City,3427,Central District,-37.6833,144.5833,Victoria
Diggers Rest,Hume City,3427,Central District,-37.5972,144.8051,Victoria
Diggora,Campaspe Shire,3561,Northern Country District,-36.3234,144.7084,Victoria
Dimboola,Hindmarsh Shire,3414,Wimmera District,-36.0329,141.7328,Victoria
Dimboola,Yarriambiack Shire (South Of Netting Fence),3414,Wimmera District,-36.0262,142.4045,Victoria
Dingee,Loddon Shire,3571,Northern Country District,-36.4041,143.8296,Victoria
Dingley Village,Kingston City,3172,Central District,-38.0045,145.0953,Victoria
Dingwall,Gannawarra Shire,3579,Mallee District,-35.7321,143.8532,Victoria
Dinner Plain,Alpine Shire,3898,North East District,-36.8341,146.9794,Victoria
Dixie,Corangamite Shire,3265,South West District,-38.216,143.2354,Victoria
Dixons Creek,Yarra Ranges Shire,3775,Central District,-37.7501,145.7371,Victoria
Dobie,Ararat Rural City,3377,South West District,-37.2833,142.9333,Victoria
Docker,Wangaratta Rural City,3678,North East District,-36.3667,146.3333,Victoria
Dockers Plains,Wangaratta Rural City,3678,North East District,-36.3667,146.3333,Victoria
Docklands,Melbourne City,3008,Central District,-37.814,144.9633,Victoria
Docklands,Melbourne City,3008,Central District,-37.814,144.9633,Victoria
Doctors Flat,East Gippsland Shire,3895,East Gippsland District,-37.3456,148.5829,Victoria
Dollar,South Gippsland Shire,3871,West & South Gippsland District,-38.699,146.067,Victoria
Don Valley,Yarra Ranges Shire,3139,Central District,-37.7501,145.7371,Victoria
Donald,Buloke Shire,3480,Mallee District,-35.8464,143.05200000000002,Victoria
Doncaster,Manningham City,3108,Central District,-37.7571,145.1805,Victoria
Doncaster East,Manningham City,3109,Central District,-37.7571,145.1805,Victoria
Donnybrook,Whittlesea City,3064,Central District,-37.5167,145.1167,Victoria
Donvale,Manningham City,3111,Central District,-37.7571,145.1805,Victoria
Dooboobetic,Buloke Shire,3478,Mallee District,-35.8464,143.05200000000002,Victoria
Dooen,Horsham Rural City,3401,Wimmera District,-36.7167,142.2,Victoria
Dookie,Greater Shepparton City,3646,Northern Country District,-36.4274,145.4152,Victoria
Dookie College,Greater Shepparton City,3647,Northern Country District,-36.4274,145.4152,Victoria
Doreen,Whittlesea City,3754,Central District,-37.5167,145.1167,Victoria
Doreen,Nillumbik Shire,3754,Central District,-37.6147,145.2171,Victoria
Dorodong,West Wimmera Shire,3312,Wimmera District,-36.5992,141.4004,Victoria
Douglas,Horsham Rural City,3409,Wimmera District,-36.7167,142.2,Victoria
Douglas,West Wimmera Shire,3409,Wimmera District,-36.5992,141.4004,Victoria
Doveton,Casey City,3177,Central District,-38.0952,145.3228,Victoria
Dreeite,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Dreeite South,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Driffield,Latrobe City,3840,West & South Gippsland District,-38.2538,146.4612,Victoria
Drik Drik,Glenelg Shire,3304,South West District,-37.8908,141.4424,Victoria
Dromana,Mornington Peninsula Shire,3936,Central District,-38.3327,144.9566,Victoria
Dropmore,Murrindindi Shire,3660,North Central District,-37.3667,145.5333,Victoria
Drouin,Baw Baw Shire,3818,West & South Gippsland District,-37.97,146.144,Victoria
Drouin East,Baw Baw Shire,3818,West & South Gippsland District,-37.97,146.144,Victoria
Drouin South,Baw Baw Shire,3818,West & South Gippsland District,-37.97,146.144,Victoria
Drouin West,Baw Baw Shire,3818,West & South Gippsland District,-37.97,146.144,Victoria
Drumanure,Moira Shire,3636,Northern Country District,-36.0506,145.5381,Victoria
Drumborg,Glenelg Shire,3304,South West District,-37.8908,141.4424,Victoria
Drumcondra,Greater Geelong City,3215,Central District,-38.0518,144.4614,Victoria
Drummartin,Greater Bendigo City,3570,Northern Country District,-36.7228,144.4397,Victoria
Drummond,Hepburn Shire,3461,Central District,-37.3167,144.1333,Victoria
Drummond,Macedon Ranges Shire,3461,Central District,-37.3334,144.6158,Victoria
Drummond North,Hepburn Shire,3446,Central District,-37.3167,144.1333,Victoria
Drummond North,Mount Alexander Shire,3446,North Central District,-37.0761,144.1882,Victoria
Drummond North,Macedon Ranges Shire,3446,Central District,-37.3334,144.6158,Victoria
Drung,Horsham Rural City,3401,Wimmera District,-36.7167,142.2,Victoria
Dry Diggings,Hepburn Shire,3461,Central District,-37.3167,144.1333,Victoria
Drysdale,Greater Geelong City,3222,Central District,-38.0518,144.4614,Victoria
Duchembegarra,Horsham Rural City,3409,Wimmera District,-36.7167,142.2,Victoria
Dumbalk,South Gippsland Shire,3956,West & South Gippsland District,-38.699,146.067,Victoria
Dumbalk North,South Gippsland Shire,3956,West & South Gippsland District,-38.699,146.067,Victoria
Dumosa,Buloke Shire,3527,Mallee District,-35.8464,143.05200000000002,Victoria
Dunach,Hepburn Shire,3371,Central District,-37.3167,144.1333,Victoria
Dunach,Central Goldfields Shire,3371,North Central District,-36.9789,143.7386,Victoria
Dundonnell,Moyne Shire,3271,South West District,-38.1879,142.4622,Victoria
Dunkeld,Southern Grampians Shire,3294,South West District,-37.5299,142.0253,Victoria
Dunkeld,Ararat Rural City,3294,South West District,-37.2833,142.9333,Victoria
Dunluce,Central Goldfields Shire,3472,North Central District,-36.9789,143.7386,Victoria
Dunneworthy,Ararat Rural City,3377,South West District,-37.2833,142.9333,Victoria
Dunnstown,Moorabool Shire,3352,Central District,-38.0833,144.3,Victoria
Dunolly,Central Goldfields Shire,3472,North Central District,-36.9789,143.7386,Victoria
Dunolly,Loddon Shire,3472,Northern Country District,-36.4041,143.8296,Victoria
Dunrobin,Glenelg Shire,3312,South West District,-37.8908,141.4424,Victoria
Durdidwarrah,Golden Plains Shire,3342,Central District,-37.8523,143.8635,Victoria
Durham Lead,Moorabool Shire,3352,Central District,-38.0833,144.3,Victoria
Durham Lead,Ballarat City,3352,Central District,-37.5662,143.8496,Victoria
Durham Lead,Golden Plains Shire,3352,Central District,-37.8523,143.8635,Victoria
Durham Ox,Loddon Shire,3576,Northern Country District,-36.4041,143.8296,Victoria
Dutson,Wellington Shire,3851,West & South Gippsland District,-35.35,139.3833,Victoria
Dutton Way,Glenelg Shire,3305,South West District,-37.8908,141.4424,Victoria
Duverney,Corangamite Shire,3323,South West District,-38.216,143.2354,Victoria
Eagle Point,East Gippsland Shire,3878,East Gippsland District,-37.3456,148.5829,Victoria
Eaglehawk,Greater Bendigo City,3556,Northern Country District,-36.7228,144.4397,Victoria
Eaglehawk North,Greater Bendigo City,3556,Northern Country District,-36.7228,144.4397,Victoria
Eaglemont,Banyule City,3084,Central District,-37.7339,145.0858,Victoria
Earlston,Strathbogie Shire,3669,Northern Country District,-36.85,145.75,Victoria
East Bairnsdale,East Gippsland Shire,3875,East Gippsland District,-37.3456,148.5829,Victoria
East Bendigo,Greater Bendigo City,3550,Northern Country District,-36.7228,144.4397,Victoria
East Geelong,Greater Geelong City,3219,Central District,-38.0518,144.4614,Victoria
