Council,Suburb,Post Code
65,Hallam,3803
4,Hallora,3818
38,Halls Gap,3381
9,Hallston,3953
58,Hamilton,3300
26,Hamlyn Heights,3215
66,Hampton,3188
66,Hampton East,3188
65,Hampton Park,3976
39,Hansonville,3675
29,Happy Valley,3549
25,Happy Valley,3360
62,Harcourt,3453
62,Harcourt North,3453
42,Harcourt North,3453
65,Harkaway,3806
10,Harkness,3337
6,Harmers Haven,3995
1,Harrietville,3741
58,Harrow,3317
33,Harrow,3317
36,Harston,3616
45,Hastings,3915
72,Hattah,3501
8,Havelock,3465
34,Haven,3401
1,Havilah,3737
16,Hawkesdale,3287
12,Hawkhurst,3862
47,Hawthorn,3122
47,Hawthorn East,3123
9,Hazel Park,3966
73,Hazelwood,3840
73,Hazelwood North,3840
73,Hazelwood South,3840
55,Healesville,3777
52,Heath Hill,3981
4,Heath Hill,3981
42,Heathcote,3523
51,Heathcote Junction,3758
51,Heathcote South,3523
49,Heatherton,3202
19,Heathmere,3305
64,Heathmont,3135
12,Hedley,3967
9,Hedley,3967
68,Heidelberg,3084
68,Heidelberg Heights,3081
68,Heidelberg West,3081
58,Hensley Park,3301
19,Henty,3312
18,Hepburn,3461
18,Hepburn Springs,3461
26,Herne Hill,3218
73,Hernes Oak,3825
4,Hernes Oak,3825
46,Hesket,3442
25,Hesse,3321
16,Hexham,3273
12,Heyfield,3858
53,Heytesbury Lower,3268
19,Heywood,3304
12,Hiamdale,3847
12,Hiawatha,3971
51,High Camp,3764
49,Highett,3190
66,Highett,3190
5,Highlands,3660
51,Highlands,3660
26,Highton,3216
58,Hilgay,3315
4,Hill End,3825
24,Hillcrest,3351
51,Hilldene,3660
28,Hillside,3875
10,Hillside,3037
13,Hillside,3037
28,Hinnomunjie,3898
45,Hmas Cerberus,3920
55,Hoddles Creek,3139
12,Hollands Landing,3862
24,Homebush,3465
19,Homerton,3304
5,Homewood,3717
70,Hopetoun,3396
54,Hopetoun Park,3340
79,Hoppers Crossing,3029
23,Hordern Vale,3238
31,Horfield,3567
32,Horfield,3567
34,Horsham,3400
1,Hotham Heights,3741
19,Hotspur,3303
27,Howes Creek,3723
27,Howqua,3723
27,Howqua Hills,3723
27,Howqua Inlet,3723
48,Hughesdale,3166
71,Humevale,3757
42,Hunter,3558
12,Hunterston,3971
48,Huntingdale,3166
42,Huntly,3551
42,Huntly North,3551
67,Huon,3695
15,Huon,3695
60,Huon Creek,3691
44,Hurstbridge,3099
4,Icy Creek,3833
28,Iguana Creek,3875
25,Illabarook,3351
38,Illawarra,3381
16,Illowa,3282
17,Illowa,3282
26,Indented Head,3223
15,Indigo Valley,3688
32,Inglewood,3517
54,Ingliston,3342
32,Inkerman,3472
20,Invergordon,3636
11,Inverleigh,3321
25,Inverleigh,3321
6,Inverloch,3996
9,Inverloch,3996
7,Invermay,3352
7,Invermay Park,3350
52,Iona,3815
72,Iraak,3494
62,Irishtown,3451
42,Ironbark,3550
23,Irrewarra,3249
23,Irrewillipe,3249
23,Irrewillipe East,3249
72,Irymple,3498
68,Ivanhoe,3079
68,Ivanhoe East,3079
50,Jacana,3047
12,Jack River,3971
42,Jackass Flat,3556
4,Jacob Creek,3825
6,Jam Jerrup,3984
27,Jamieson,3723
11,Jan Juc,3228
53,Jancourt,3266
53,Jancourt East,3266
23,Jancourt East,3266
32,Jarklin,3517
28,Jarrahmond,3888
67,Jarvis Creek,3700
73,Jeeralang,3840
73,Jeeralang Junction,3840
9,Jeetho,3945
56,Jeffcott,3480
56,Jeffcott North,3480
30,Jeparit,3423
56,Jeruk,3527
56,Jil Jil,3483
34,Jilpanger,3409
4,Jindivick,3818
38,Joel Joel,3384
38,Joel South,3384
23,Johanna,3238
28,Johnsonville,3902
62,Joyces Creek,3364
8,Joyces Creek,3364
73,Jumbuk,3869
9,Jumbunna,3951
65,Junction Village,3977
41,Jung,3401
34,Jung,3401
42,Junortoun,3551
20,Kaarimba,3635
33,Kadnook,3318
28,Kalimna,3909
28,Kalimna West,3909
50,Kalkallo,3064
34,Kalkee,3401
55,Kallista,3791
55,Kalorama,3766
56,Kalpienung,3529
42,Kamarooka,3570
32,Kamarooka,3570
32,Kamarooka North,3571
34,Kanagulk,3401
1,Kancoona,3691
42,Kangaroo Flat,3555
44,Kangaroo Ground,3097
33,Kaniva,3419
30,Kaniva,3419
5,Kanumbra,3719
38,Kanya,3387
57,Kanyapella,3564
58,Karabeal,3294
9,Kardella,3951
9,Kardella South,3950
53,Kariah,3260
33,Karnak,3401
36,Karramomus,3631
56,Karyrie,3483
20,Katamatite,3649
20,Katamatite East,3649
36,Katandra,3634
36,Katandra West,3634
20,Katunga,3640
23,Kawarren,3249
13,Kealba,3021
31,Keely,3568
50,Keilor,3036
13,Keilor,3036
13,Keilor Downs,3038
13,Keilor East,3033
3,Keilor East,3033
13,Keilor Lodge,3038
13,Keilor North,3036
13,Keilor Park,3042
41,Kellalac,3393
37,Kelvin View,3666
29,Kenley,3597
30,Kenmare,3395
53,Kennedys Creek,3239
23,Kennett River,3234
42,Kennington,3550
77,Kensington,3031
3,Kensington,3031
31,Kerang,3579
31,Kerang East,3579
15,Kergunyah,3691
1,Kergunyah South,3691
6,Kernot,3979
46,Kerrie,3434
5,Kerrisdale,3660
27,Kevington,3723
47,Kew,3101
47,Kew East,3102
41,Kewell,3390
34,Kewell,3390
61,Keysborough,3173
36,Kialla,3631
36,Kialla East,3631
36,Kialla West,3631
30,Kiata,3418
15,Kiewa,3691
6,Kilcunda,3995
60,Killara,3691
19,Killara,3312
16,Killarney,3283
39,Killawarra,3678
5,Killingworth,3717
12,Kilmany,3851
51,Kilmore,3764
51,Kilmore East,3764
55,Kilsyth,3137
64,Kilsyth,3137
64,Kilsyth South,3137
42,Kimbolton,3551
39,King Valley,3678
5,Kinglake,3763
5,Kinglake Central,3757
5,Kinglake West,3757
71,Kinglake West,3757
32,Kingower,3517
13,Kings Park,3021
21,Kingsbury,3083
18,Kingston,3364
74,Kingsville,3012
56,Kinnabulla,3483
32,Kinypanial,3520
16,Kirkstall,3283
37,Kirwans Bridge,3608
37,Kithbrook,3666
16,Knebsworth,3286
27,Knockwood,3723
42,Knowsley,3523
63,Knoxfield,3180
53,Koallah,3260
67,Koetong,3704
16,Kolora,3265
53,Kolora,3265
6,Kongwak,3951
9,Kongwak,3951
58,Konongwootong,3315
52,Koo Wee Rup,3981
52,Koo Wee Rup North,3981
29,Kooloonong,3597
37,Koonda,3669
31,Koondrook,3580
20,Koonoomoo,3644
9,Koonwarra,3954
38,Kooreh,3477
72,Koorlong,3501
73,Koornalla,3844
18,Kooroocheang,3364
9,Koorooman,3953
43,Kooyong,3144
5,Koriella,3714
54,Korobeit,3341
16,Koroit,3282
32,Korong Vale,3520
31,Koroop,3579
9,Korumburra,3950
9,Korumburra South,3950
54,Korweinguboora,3461
57,Kotta,3565
20,Kotupna,3638
57,Koyuga,3622
6,Krowera,3945
9,Krowera,3945
72,Kulwin,3490
29,Kunat,3585
32,Kurraca,3518
32,Kurraca West,3518
32,Kurting,3517
10,Kurunjang,3337
36,Kyabram,3620
57,Kyabram,3620
36,Kyabram South,3620
46,Kyneton,3444
46,Kyneton South,3444
57,Kyvalley,3621
32,Laanecoorie,3463
16,Laang,3265
4,Labertouche,3816
39,Laceby,3678
42,Ladys Pass,3523
41,Laen,3480
56,Laen,3480
56,Laen East,3480
56,Laen North,3480
41,Lah,3393
34,Laharum,3401
29,Lake Boga,3584
35,Lake Bolac,3351
28,Lake Bunga,3909
31,Lake Charm,3581
19,Lake Condah,3303
27,Lake Eildon,3713
38,Lake Fyans,3381
7,Lake Gardens,3355
24,Lake Goldsmith,3373
38,Lake Lonsdale,3381
32,Lake Marmal,3525
31,Lake Meran,3579
19,Lake Mundi,3312
29,Lake Powell,3597
20,Lake Rowan,3727
28,Lake Tyers,3887
28,Lake Tyers Beach,3909
7,Lake Wendouree,3350
24,Lake Wongan,3373
28,Lakes Entrance,3909
54,Lal Lal,3352
31,Lalbert,3542
71,Lalor,3075
24,Lamplough,3352
57,Lancaster,3620
36,Lancaster,3620
6,Lance Creek,3995
46,Lancefield,3435
24,Landsborough,3384
38,Landsborough West,3384
24,Landsborough West,3384
9,Lang Lang,3984
52,Lang Lang,3984
6,Lang Lang,3984
52,Lang Lang East,3984
18,Langdons Hill,3363
24,Langi Kal Kal,3352
35,Langi Logan,3377
33,Langkoop,3318
62,Langley,3444
12,Langsborough,3971
78,Langwarrin,3910
78,Langwarrin South,3911
26,Lara,3212
4,Lardner,3821
23,Larpent,3249
53,Larralea,3325
70,Lascelles,3487
55,Launching Place,3139
46,Lauriston,3444
23,Lavers Hill,3238
79,Laverton,3028
22,Laverton,3028
79,Laverton North,3026
56,Lawler,3480
41,Lawler,3480
33,Lawloit,3418
18,Lawrence,3364
32,Leaghur,3537
7,Learmonth,3352
38,Ledcourt,3385
42,Leichardt,3516
32,Leichardt,3516
54,Leigh Creek,3352
31,Leitchville,3567
32,Leitchville,3567
36,Lemnos,3631
60,Leneva,3691
18,Leonards Hill,3461
9,Leongatha,3953
9,Leongatha North,3953
9,Leongatha South,3953
26,Leopold,3224
54,Lerderderg,3458
53,Leslie Manor,3260
25,Lethbridge,3332
24,Lexton,3352
12,Licola,3858
12,Licola North,3858
4,Lillico,3820
8,Lillicur,3371
24,Lillicur,3371
33,Lillimur,3420
15,Lilliput,3682
55,Lilydale,3140
40,Lima,3673
40,Lima East,3673
27,Lima South,3673
40,Lima South,3673
5,Limestone,3717
28,Lindenow,3865
28,Lindenow South,3875
19,Lindsay,3312
72,Lindsay Point,3496
72,Linga,3509
24,Linton,3360
25,Linton,3360
29,Liparoo,3549
53,Lismore,3324
56,Litchfield,3480
30,Little Desert,3418
18,Little Hampton,3458
79,Little River,3211
26,Little River,3211
32,Llanelly,3551
12,Llowalong,3862
6,Loch,3945
9,Loch,3945
12,Loch Sport,3851
57,Lockington,3563
37,Locksley,3665
42,Lockwood,3551
42,Lockwood South,3551
32,Loddon Vale,3575
32,Logan,3475
38,Logan,3475
39,Londrigan,3678
54,Long Forest,3340
42,Long Gully,3550
34,Longerenong,3401
41,Longerenong,3401
12,Longford,3851
42,Longlea,3551
52,Longwarry,3816
4,Longwarry,3816
4,Longwarry North,3816
37,Longwood,3665
37,Longwood East,3666
11,Lorne,3232
30,Lorquon,3418
26,Lovely Banks,3213
20,Lower Moira,3639
34,Lower Norton,3401
68,Lower Plenty,3093
41,Lubeck,3385
38,Lubeck,3385
7,Lucas,3350
28,Lucknow,3875
67,Lucyvale,3691
40,Lurg,3673
42,Lyal,3444
65,Lynbrook,3975
61,Lyndhurst,3975
65,Lyndhurst,3975
19,Lyons,3304
18,Lyonville,3461
63,Lysterfield,3156
55,Lysterfield,3156
65,Lysterfield South,3156
16,Macarthur,3286
55,Macclesfield,3782
46,Macedon,3440
12,Macks Creek,3971
68,Macleod,3085
21,Macleod,3085
32,Macorna,3579
31,Macorna,3579
31,Macorna North,3568
27,Macs Cove,3723
12,Madalya,3971
54,Maddingley,3340
35,Mafeking,3379
12,Maffra,3860
12,Maffra West Upper,3859
7,Magpie,3352
42,Maiden Gully,3551
74,Maidstone,3012
16,Mailors Flat,3275
24,Main Lead,3373
45,Main Ridge,3928
27,Maindample,3723
5,Maintongoon,3714
40,Major Plains,3725
36,Major Plains,3725
8,Majorca,3465
62,Maldon,3463
28,Mallacoota,3892
46,Malmsbury,3446
18,Malmsbury,3446
62,Malmsbury,3446
43,Malvern,3144
43,Malvern East,3145
79,Mambourin,3024
29,Manangatang,3546
42,Mandurang,3551
42,Mandurang South,3551
37,Mangalore,3663
51,Mangalore,3663
26,Manifold Heights,3218
26,Mannerim,3222
25,Mannibadar,3360
12,Manns Beach,3971
79,Manor Lakes,3024
28,Manorina,3889
27,Mansfield,3722
28,Maramingo Creek,3891
26,Marcus Hill,3222
9,Mardan,3953
23,Marengo,3233
74,Maribyrnong,3032
36,Marionvale,3634
39,Markwood,3678
56,Marlbed,3483
28,Marlo,3888
38,Marnoo,3387
38,Marnoo East,3477
38,Marnoo West,3387
42,Marong,3515
32,Marong,3515
35,Maroona,3377
37,Marraweeney,3669
26,Marshall,3216
36,Marungi,3634
20,Marungi,3634
8,Maryborough,3465
52,Maryknoll,3812
5,Marysville,3779
73,Maryvale,3840
56,Massey,3482
55,Matlock,3723
27,Matlock,3723
25,Maude,3331
45,McCrae,3938
32,McIntyre,3472
34,McKenzie Creek,3401
62,McKenzie Hill,3451
69,McKinnon,3204
12,McLoughlins Beach,3874
55,McMahons Creek,3799
31,McMillans,3568
31,Mead,3568
39,Meadow Creek,3678
50,Meadow Heights,3048
29,Meatian,3585
31,Meatian,3585
9,Meeniyan,3956
31,Meering West,3579
12,Meerlieu,3862
14,Melbourne,3004
77,Melbourne,3000
77,Melbourne,3004
50,Melbourne Airport,3045
10,Melton,3337
10,Melton South,3338
10,Melton West,3337
58,Melville Forest,3315
28,Melwood,3875
24,Mena Park,3373
49,Mentone,3194
55,Menzies Creek,3159
52,Menzies Creek,3159
16,Mepunga,3277
16,Mepunga East,3277
16,Mepunga West,3277
72,Merbein,3505
72,Merbein South,3505
72,Merbein West,3505
54,Meredith,3333
25,Meredith,3333
72,Meringur,3496
19,Merino,3310
71,Mernda,3754
1,Merriang,3737
1,Merriang South,3737
45,Merricks,3916
45,Merricks Beach,3926
45,Merricks North,3926
36,Merrigum,3618
28,Merrijig,3723
27,Merrijig,3723
54,Merrimu,3340
72,Merrinee,3496
27,Merton,3715
5,Merton,3715
62,Metcalfe,3448
62,Metcalfe East,3444
28,Metung,3904
51,Mia Mia,3444
42,Mia Mia,3444
50,Mickleham,3064
35,Middle Creek,3375
24,Middle Creek,3375
14,Middle Park,3206
9,Middle Tarwin,3956
37,Miepoll,3666
33,Miga Lake,3409
39,Milawa,3678
72,Mildura,3500
71,Mill Park,3082
54,Millbrook,3352
55,Millgrove,3799
57,Milloo,3572
19,Milltown,3304
31,Milnes Bridge,3579
32,Mincha,3575
31,Mincha West,3568
7,Miners Rest,3352
53,Mingay,3324
16,Minhamite,3287
33,Minimay,3413
35,Mininera,3351
16,Minjah,3276
32,Minmindie,3537
41,Minyip,3392
33,Miram,3415
73,Mirboo,3871
9,Mirboo,3871
9,Mirboo North,3871
58,Mirranatwa,3294
59,Mitcham,3132
7,Mitchell Park,3352
7,Mitchell Park,3355
37,Mitchellstown,3608
57,Mitiamo,3573
32,Mitiamo,3573
34,Mitre,3409
33,Mitre,3409
67,Mitta Mitta,3701
72,Mittyack,3490
34,Mockinya,3401
4,Modella,3816
52,Modella,3816
11,Modewarre,3240
73,Moe,3825
4,Moe,3825
73,Moe South,3825
4,Moe South,3825
11,Moggs Creek,3231
37,Moglonemby,3666
38,Mokepilly,3381
5,Molesworth,3718
32,Moliagul,3472
8,Moliagul,3472
37,Molka,3666
54,Mollongghip,3352
18,Mollongghip,3352
32,Mologa,3575
40,Molyullah,3673
55,Monbulk,3793
46,Monegeetta,3433
1,Mongans Bridge,3691
52,Monomeith,3984
47,Mont Albert,3127
59,Mont Albert,3127
59,Mont Albert North,3129
12,Montgomery,3851
68,Montmorency,3094
55,Montrose,3765
26,Moolap,3224
38,Moolerr,3477
8,Moolort,3465
24,Moonambel,3478
4,Moondarra,3825
3,Moonee Ponds,3039
8,Moonlight Flat,3465
62,Moonlight Flat,3450
57,Moora,3612
49,Moorabbin,3189
49,Moorabbin Airport,3194
26,Moorabool,3213
58,Mooralla,3314
37,Moorilim,3610
36,Moorilim,3610
37,Moormbool West,3523
12,Moornapa,3862
40,Moorngag,3673
45,Moorooduc,3933
55,Mooroolbark,3138
36,Mooroopna,3629
36,Mooroopna North,3629
36,Mooroopna North West,3616
51,Moranding,3764
49,Mordialloc,3195
58,Morgiana,3301
11,Moriac,3240
45,Mornington,3931
25,Morrisons,3334
54,Morrisons,3334
38,Morrl Morrl,3387
16,Mortlake,3272
56,Morton Plains,3482
73,Morwell,3840
28,Mossiface,3885
67,Mount Alfred,3709
1,Mount Beauty,3699
18,Mount Beckworth,3363
9,Mount Best,3960
7,Mount Bolton,3352
40,Mount Bruno,3675
1,Mount Buffalo,3740
52,Mount Burnett,3781
53,Mount Bute,3324
42,Mount Camel,3523
8,Mount Cameron,3370
7,Mount Clear,3350
35,Mount Cole,3377
35,Mount Cole Creek,3377
79,Mount Cottrell,3024
10,Mount Cottrell,3024
55,Mount Dandenong,3767
54,Mount Doran,3334
38,Mount Dryden,3381
26,Mount Duneed,3217
11,Mount Duneed,3217
9,Mount Eccles,3953
9,Mount Eccles South,3953
54,Mount Egerton,3352
45,Mount Eliza,3930
24,Mount Emu,3351
55,Mount Evelyn,3796
18,Mount Franklin,3461
8,Mount Glasgow,3371
7,Mount Helen,3350
8,Mount Hooghly,3472
24,Mount Lonarch,3468
46,Mount Macedon,3441
36,Mount Major,3646
45,Mount Martha,3934
25,Mount Mercer,3352
11,Mount Moriac,3240
58,Mount Napier,3301
7,Mount Pleasant,3350
18,Mount Prospect,3364
19,Mount Richmond,3305
7,Mount Rowan,3352
28,Mount Taylor,3875
55,Mount Toolebewong,3777
54,Mount Wallace,3342
48,Mount Waverley,3149
27,Mountain Bay,3723
4,Mountain View,3988
58,Moutajup,3294
9,Moyarra,3951
39,Moyhu,3732
38,Moyreisk,3477
35,Moyston,3377
20,Muckatah,3644
62,Muckleford,3451
62,Muckleford South,3462
1,Mudgegonga,3737
15,Mudgegonga,3737
48,Mulgrave,3170
19,Mumbannar,3304
20,Mundoona,3635
12,Munro,3862
19,Muntham,3315
58,Muntham,3315
37,Murchison,3610
36,Murchison,3610
36,Murchison East,3610
36,Murchison North,3610
25,Murgheboluc,3218
39,Murmungee,3747
29,Murnungin,3544
32,Murphys Creek,3551
34,Murra Warra,3401
41,Murra Warra,3401
31,Murrabit,3579
31,Murrabit West,3579
29,Murrawee,3586
29,Murraydale,3586
72,Murrayville,3512
28,Murrindal,3885
5,Murrindindi,3717
23,Murroon,3243
69,Murrumbeena,3163
41,Murtoa,3390
18,Musk,3461
18,Musk Vale,3461
57,Muskerry,3557
31,Myall,3579
56,Myall,3533
19,Myamyn,3304
42,Myers Flat,3556
57,Myola,3551
54,Myrniong,3341
39,Myrrhee,3732
62,Myrtle Creek,3551
42,Myrtle Creek,3551
12,Myrtlebank,3851
1,Myrtleford,3737
32,Mysia,3518
31,Mystic Park,3579
20,Mywee,3641
37,Nagambie,3608
23,Nalangil,3249
37,Nalinga,3646
36,Nalinga,3646
12,Nambrok,3847
56,Nandaly,3533
52,Nangana,3781
19,Nangeela,3312
72,Nangiloc,3494
57,Nanneella,3561
25,Napoleons,3352
52,Nar Nar Goon,3812
52,Nar Nar Goon North,3812
5,Narbethong,3778
16,Nareeb,3293
58,Nareeb,3293
58,Nareen,3315
56,Nareewillock,3525
67,Nariel Valley,3707
28,Nariel Valley,3707
20,Naring,3636
16,Naringal,3277
16,Naringal East,3277
53,Naroghid,3266
4,Narracan,3824
56,Narraport,3483
35,Narrapumelap South,3293
19,Narrawong,3285
65,Narre Warren,3805
55,Narre Warren East,3804
65,Narre Warren North,3804
65,Narre Warren South,3805
29,Narrung,3597
20,Nathalia,3638
34,Natimuk,3409
8,Natte Yallock,3465
38,Natte Yallock,3465
24,Natte Yallock,3465
29,Natya,3597
38,Navarre,3384
24,Navarre,3384
54,Navigators,3352
4,Nayook,3832
72,Neds Corner,3496
62,Neereman,3463
4,Neerim,3831
4,Neerim East,3831
4,Neerim Junction,3832
4,Neerim North,3832
4,Neerim South,3831
42,Neilborough,3570
19,Nelson,3292
9,Nerrena,3953
35,Nerrin Nerrin,3351
16,Nerrin Nerrin,3351
7,Nerrina,3350
24,Nerring,3373
30,Netherby,3418
33,Neuarpurr,3413
46,New Gisborne,3438
73,Newborough,3825
32,Newbridge,3551
18,Newbury,3458
26,Newcomb,3219
53,Newfield,3268
46,Newham,3442
6,Newhaven,3925
7,Newington,3350
28,Newlands Arm,3875
18,Newlyn,3364
18,Newlyn North,3364
28,Newmerella,3886
22,Newport,3015
12,Newry,3859
62,Newstead,3462
26,Newtown,3220
25,Newtown,3351
30,Nhill,3418
72,Nichols Point,3501
28,Nicholson,3882
3,Niddrie,3042
4,Nilma,3821
4,Nilma North,3821
56,Ninda,3533
32,Nine Mile,3518
25,Nintingbool,3351
31,Ninyeunook,3527
16,Nirranda,3268
16,Nirranda East,3268
53,Nirranda East,3268
16,Nirranda South,3268
61,Noble Park,3174
61,Noble Park North,3174
4,Noojee,3833
53,Noorat,3265
16,Noorat,3265
53,Noorat East,3265
28,Noorinbee,3890
28,Noorinbee North,3890
34,Noradjuha,3409
26,Norlane,3214
31,Normanville,3579
15,Norong,3682
42,North Bendigo,3550
18,North Blackwood,3458
26,North Geelong,3215
77,North Melbourne,3051
26,North Shore,3214
39,North Wangaratta,3678
44,North Warrandyte,3113
6,North Wonthaggi,3995
21,Northcote,3070
51,Northwood,3660
35,Norval,3377
48,Notting Hill,3168
28,Nowa Nowa,3887
24,Nowhere Creek,3469
29,Nowie,3585
1,Nug Nug,3737
62,Nuggetty,3463
51,Nulla Vale,3435
16,Nullawarre,3268
16,Nullawarre North,3268
56,Nullawil,3529
20,Numurkah,3636
76,Nunawading,3131
59,Nunawading,3131
28,Nungurner,3909
33,Nurcoung,3401
34,Nurrabiel,3401
28,Nurran,3888
44,Nutfield,3099
29,Nyah,3594
29,Nyah West,3595
56,Nyarrin,3533
28,Nyerimilang,3909
4,Nyora,3987
9,Nyora,3987
52,Nyora,3987
29,Nyrraby,3585
75,Oak Park,3046
50,Oaklands Junction,3063
48,Oakleigh,3166
48,Oakleigh East,3166
48,Oakleigh South,3167
49,Oakleigh South,3167
31,Oakvale,3540
28,Ocean Grange,3880
26,Ocean Grove,3226
52,Officer,3809
52,Officer South,3809
67,Old Tallangatta,3701
55,Olinda,3788
11,Ombersley,3241
23,Ombersley,3241
28,Omeo,3898
28,Omeo Valley,3898
23,Ondit,3249
28,Orbost,3888
16,Orford,3284
69,Ormond,3204
36,Orrvale,3631
15,Osbornes Flat,3691
9,Outtrim,3951
6,Outtrim,3951
72,Ouyen,3490
1,Ovens,3738
39,Oxley,3678
39,Oxley Flats,3678
33,Ozenkadnook,3413
53,Paaratte,3268
32,Painswick,3551
52,Pakenham,3810
52,Pakenham South,3810
52,Pakenham Upper,3810
72,Panitya,3512
16,Panmure,3265
44,Panton Hill,3759
38,Paradise,3477
12,Paradise Beach,3851
11,Paraparap,3240
64,Park Orchards,3114
76,Park Orchards,3114
49,Parkdale,3195
77,Parkville,3052
10,Parwan,3340
54,Parwan,3340
19,Paschendale,3315
75,Pascoe Vale,3044
75,Pascoe Vale South,3044
46,Pastoria,3444
46,Pastoria East,3444
70,Patchewollock,3491
72,Patchewollock,3491
57,Patho,3564
49,Patterson Lakes,3197
33,Patyah,3318
28,Paynesville,3880
45,Pearcedale,3912
65,Pearcedale,3912
12,Pearsondale,3851
39,Peechelba,3678
20,Peechelba,3678
39,Peechelba East,3678
20,Pelluebla,3727
23,Pennyroyal,3235
11,Pennyroyal,3235
16,Penshurst,3289
58,Penshurst,3289
29,Pental Island,3586
54,Pentland Hills,3341
24,Percydale,3478
33,Peronne,3413
12,Perry Bridge,3862
16,Peterborough,3270
53,Peterborough,3270
23,Petticoat Creek,3233
5,Pheasant Creek,3757
29,Piangil,3597
20,Picola,3639
20,Picola West,3639
4,Piedmont,3833
56,Pier Milan,3533
58,Pigeon Ponds,3407
25,Piggoreet,3351
34,Pimpinio,3401
57,Pine Grove,3573
36,Pine Lodge,3631
67,Pine Mountain,3709
31,Pine View,3579
6,Pioneer Bay,3984
46,Pipers Creek,3444
29,Pira,3585
27,Piries,3723
23,Pirron Yallock,3249
53,Pirron Yallock,3249
25,Pitfield,3351
24,Pittong,3360
25,Pittong,3360
44,Plenty,3090
10,Plumpton,3335
79,Point Cook,3030
45,Point Leo,3916
26,Point Lonsdale,3225
80,Point Lonsdale,3225
29,Polisbet,3585
53,Pomborneit,3260
53,Pomborneit East,3249
53,Pomborneit North,3260
38,Pomonal,3381
35,Pomonal,3381
32,Pompapiel,3571
33,Poolaijelo,3312
54,Pootilla,3352
9,Poowong,3988
4,Poowong East,3988
9,Poowong East,3988
4,Poowong North,3988
9,Poowong North,3988
18,Porcupine Ridge,3461
1,Porepunkah,3740
12,Port Albert,3971
53,Port Campbell,3269
16,Port Fairy,3284
9,Port Franklin,3964
77,Port Melbourne,3207
14,Port Melbourne,3207
9,Port Welshpool,3965
26,Portarlington,3223
19,Portland,3305
19,Portland North,3305
19,Portland West,3305
45,Portsea,3944
9,Pound Creek,3996
6,Pound Creek,3996
55,Powelltown,3797
33,Powers Creek,3312
32,Powlett Plains,3517
43,Prahran,3181
32,Prairie,3572
37,Pranjip,3666
21,Preston,3072
2,Princes Hill,3054
53,Princetown,3269
51,Puckapunyal,3662
35,Pura Pura,3271
16,Pura Pura,3271
58,Purdeet,3289
16,Purdeet,3289
16,Purnim,3278
16,Purnim West,3278
51,Pyalong,3521
32,Pyramid Hill,3575
31,Quambatook,3540
79,Quandong,3030
34,Quantong,3401
42,Quarry Hill,3550
80,Queenscliff,3225
6,Queensferry,3984
24,Raglan,3373
30,Rainbow,3424
70,Rainbow,3424
9,Ranceby,3951
24,Rathscar,3465
24,Rathscar West,3465
10,Ravenhall,3023
42,Ravenswood,3453
62,Ravenswood,3453
62,Ravenswood South,3453
4,Rawson,3825
28,Raymond Island,3880
32,Raywood,3570
42,Raywood,3570
72,Red Cliffs,3496
45,Red Hill,3937
45,Red Hill South,3937
8,Red Lion,3371
7,Redan,3350
38,Redbank,3477
24,Redbank,3477
42,Redcastle,3523
57,Redcastle,3523
42,Redesdale,3444
62,Redesdale,3444
51,Reedy Creek,3658
56,Reedy Dam,3395
28,Reedy Flat,3895
31,Reedy Lake,3579
55,Reefton,3799
44,Research,3095
21,Reservoir,3073
32,Rheola,3517
6,Rhyll,3923
35,Rhymney,3377
38,Riachella,3385
56,Rich Avon,3480
38,Rich Avon East,3480
38,Rich Avon West,3480
2,Richmond,3121
56,Richmond Plains,3518
32,Richmond Plains,3518
46,Riddells Creek,3431
37,Riggs Creek,3666
64,Ringwood,3134
64,Ringwood East,3135
64,Ringwood North,3134
76,Ringwood North,3134
4,Ripplebrook,3818
26,Rippleside,3215
14,Ripponlea,3185
34,Riverside,3401
12,Riverslea,3860
12,Robertsons Beach,3971
29,Robinvale,3549
57,Rochester,3561
46,Rochford,3442
10,Rockbank,3335
58,Rocklands,3401
18,Rocklyn,3364
35,Rocky Point,3377
4,Rokeby,3821
25,Rokewood,3330
25,Rokewood Junction,3351
46,Romsey,3434
68,Rosanna,3084
39,Rose River,3678
70,Rosebery,3395
16,Rosebrook,3285
45,Rosebud,3939
12,Rosedale,3847
38,Roses Gap,3385
1,Rosewhite,3737
57,Roslynmead,3564
25,Ross Creek,3351
35,Rossbridge,3377
38,Rostron,3477
54,Rowsley,3340
63,Rowville,3178
50,Roxburgh Park,3064
5,Rubicon,3712
9,Ruby,3953
37,Ruffy,3666
5,Ruffy,3666
1,Running Creek,3691
57,Runnymede,3558
41,Rupanyup,3388
38,Rupanyup,3388
57,Rushworth,3612
25,Russells Bridge,3331
15,Rutherglen,3685
6,Ryanston,3992
45,Rye,3941
52,Rythdale,3810
45,Safety Beach,3936
18,Sailors Falls,3461
42,Sailors Gully,3556
18,Sailors Hill,3461
12,Sale,3850
32,Salisbury West,3517
40,Samaria,3673
6,San Remo,3925
19,Sandford,3312
31,Sandhill Lake,3579
78,Sandhurst,3977
62,Sandon,3462
66,Sandringham,3191
15,Sandy Creek,3695
9,Sandy Point,3959
28,Sarsfield,3875
55,Sassafras,3787
63,Sassafras,3787
27,Sawmill Settlement,3723
25,Scarsdale,3351
63,Scoresby,3179
